PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Levin, N; Ben-Dor, E; Karnieli, A				Levin, N; Ben-Dor, E; Karnieli, A			Topographic information of sand dunes as extracted from shading effects using Landsat images	REMOTE SENSING OF ENVIRONMENT																Levin, Noam/D-2180-2013	Levin, Noam/0000-0002-9434-7501												0034-4257					MAR 30	2004	90	2					190	209		10.1016/j.rse.2003.10.008								WOS:000220393800005						
J	Tang, DL; Kawamura, H; Doan-Nhu, H; Takahashi, W				Tang, DL; Kawamura, H; Doan-Nhu, H; Takahashi, W			Remote sensing oceanography of a harmful algal bloom off the coast of southeastern Vietnam	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																Doan-Nhu, Hai/F-2391-2011	Doan-Nhu, Hai/0000-0003-4261-7255												2169-9275	2169-9291				MAR 5	2004	109	C3							C03014	10.1029/2003JC002045								WOS:000220225700002						
J	Mallet, M; Roger, JC; Despiau, S; Putaud, JP; Dubovik, O				Mallet, M; Roger, JC; Despiau, S; Putaud, JP; Dubovik, O			A study of the mixing state of black carbon in urban zone	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Dubovik, Oleg/A-8235-2009	Dubovik, Oleg/0000-0003-3482-6460												2169-897X					FEB 21	2004	109	D4							D04202	10.1029/2003JD003940								WOS:000189373800003						
J	van der Woerd, H; Pasterkamp, R				van der Woerd, H; Pasterkamp, R			Mapping of the North Sea turbid coastal waters using SeaWiFS data	CANADIAN JOURNAL OF REMOTE SENSING					Workshop on Remote Sensing and Resource Management in Nearshore and Inland Waters	OCT 22-24, 2001	Wolfville, CANADA									van der Woerd, Hans/K-9812-2013	van der Woerd, Hans/0000-0002-8901-7567												0703-8992					FEB	2004	30	1					44	53		10.5589/m03-051								WOS:000189216800007						
J	Zviely, D; Klein, M				Zviely, D; Klein, M			Coastal cliff retreat rates at Beit-Yannay, Israel, in the 20th century	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337					FEB	2004	29	2					175	184		10.1002/esp.1019								WOS:000189226700004						
J	Vinayachandran, PN; Chauhan, P; Mohan, M; Nayak, S				Vinayachandran, PN; Chauhan, P; Mohan, M; Nayak, S			Biological response of the sea around Sri Lanka to summer monsoon	GEOPHYSICAL RESEARCH LETTERS																Vinayachandran, P/E-1102-2012	Vinayachandran, P/0000-0002-4915-5455												0094-8276					JAN 3	2004	31	1							L01302	10.1029/2003GL018533								WOS:000188283400003						
J	Gomez-Enri, J; Villares, P; Bruno, M; Catalan, M				Gomez-Enri, J; Villares, P; Bruno, M; Catalan, M			Evidence of different ocean responses to atmospheric pressure variations in the Atlantic, Indian and Pacific Basins as deduced from ERS-2 altimetric data	ANNALES GEOPHYSICAE																Gomez-Enri, Jesus/G-2726-2010	Gomez-Enri, Jesus/0000-0001-6053-5160; Villares Duran, Maria Pilar/0000-0002-4946-8072												0992-7689						2004	22	2					331	345		10.5194/angeo-22-331-2004								WOS:000189356400002						
S	Vittuari, L; Vincent, C; Frezzotti, M; Mancini, F; Gandolfi, S; Bitelli, G; Capra, A		Jacka, J		Vittuari, L; Vincent, C; Frezzotti, M; Mancini, F; Gandolfi, S; Bitelli, G; Capra, A			Space geodesy as a tool for measuring ice surface velocity in the Dome C region and along the ITASE traverse	ANNALS OF GLACIOLOGY, VOL 39, 2004	Annals of Glaciology-Series				7th International Symposium on Antarctic Glaciology (ISAG-7)	AUG 25-29, 2003	Univ Milano Bicocca, Milan, ITALY	Sci Comm Antarct Res, Int Glaciol Soc, Italian Antarct Res Programme, Italian Glaciol Comm, Italian Agcy New Technol, Energy & Environm	Univ Milano Bicocca							gandolfi, stefano/A-4892-2016; Mancini, Francesco/L-2937-2015; Capra, Alessandro/L-9743-2015	gandolfi, stefano/0000-0003-2096-5670; Mancini, Francesco/0000-0002-8553-345X; Capra, Alessandro/0000-0001-6660-3291; FREZZOTTI, Massimo/0000-0002-2461-2883; Vittuari, Luca/0000-0002-9815-1004; Bitelli, Gabriele/0000-0002-6118-6000												0260-3055		0-946417-34-2				2004	39						402	408		10.3189/172756404781814627								WOS:000232368400061						
S	Siddiqui, MN; Maajid, S		Schlussel, P; Stuhlmann, R; Campbell, JW; Erickson, C		Siddiqui, MN; Maajid, S			Monitoring of geomorphological changes for planning reclamation work in coastal area of Karachi Pakistan	CLIMATE CHANGE PROCESSES IN THE STRATOSPHERE, EARTH-ATMOSPHERE-OCEAN SYSTEMS, AND OCEANOGRAPHIC PROCESSES FROM SATELLITE DATA	ADVANCES IN SPACE RESEARCH				2nd World Space Congress/34th COSPAR Scientific Assembly	OCT 10-19, 2002	HOUSTON, TX	Comm Space Res																					0273-1177						2004	33	7					1200	1205		10.1016/S0273-1177(03)00373-9								WOS:000222000000033						
J	Burtenshaw, JC; Oleson, EM; Hildebrand, JA; McDonald, MA; Andrew, RK; Howe, BM; Mercer, JA				Burtenshaw, JC; Oleson, EM; Hildebrand, JA; McDonald, MA; Andrew, RK; Howe, BM; Mercer, JA			Acoustic and satellite remote sensing of blue whale seasonality and habitat in the Northeast Pacific	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY																	Howe, Bruce/0000-0001-5711-5253												0967-0645						2004	51	10-11					967	986		10.1016/j.dsr2.2004.06.020								WOS:000225330600005						
J	Tang, DL; Ni, IH; Muller-Karger, FE; Oh, IS				Tang, DL; Ni, IH; Muller-Karger, FE; Oh, IS			Monthly variation of pigment concentrations and seasonal winds in China's marginal seas	HYDROBIOLOGIA																													0018-8158					JAN	2004	511	1					1	15		10.1023/B:HYDR.0000014001.43554.6f								WOS:000188667300001						
J	Kraut, S; Anderson, RH; Krolik, JL				Kraut, S; Anderson, RH; Krolik, JL			A generalized Karhunen-Loeve basis for efficient estimation of tropospheric refractivity using radar clutter	IEEE TRANSACTIONS ON SIGNAL PROCESSING																													1053-587X					JAN	2004	52	1					48	60		10.1109/TSP.2003.820297								WOS:000187434500005						
J	Lang, O; Rabus, BT; Dech, SW				Lang, O; Rabus, BT; Dech, SW			Velocity map of the Thwaites Glacier catchment, West Antarctica	JOURNAL OF GLACIOLOGY																													0022-1430						2004	50	168					46	56		10.3189/172756504781830268								WOS:000226409900005						
J	Yamada, K; Ishizaka, J; Yoo, S; Kim, HC; Chiba, S				Yamada, K; Ishizaka, J; Yoo, S; Kim, HC; Chiba, S			Seasonal and interannual variability of sea surface chlorophyll a concentration in the Japan/East Sea (JES)	PROGRESS IN OCEANOGRAPHY					Workshop on Recent Progress in Studies of Physical Process and their Impact to the Japan/East Sea Ecosystem	2002	Seoul Natl Univ, Seoul, SOUTH KOREA	PICES	Seoul Natl Univ							Yoo, Sinjae/B-5346-2011	Ishizaka, Joji/0000-0003-0398-1572												0079-6611						2004	61	2-4					193	211		10.1016/j.pocean.2004.06.001								WOS:000224159900005						
J	Theron, JM; van Laar, A; Kunneke, A; Bredenkamp, BV				Theron, JM; van Laar, A; Kunneke, A; Bredenkamp, BV			A preliminary assessment of utilizable biomass in invading Acacia stands on the Cape coastal plains	SOUTH AFRICAN JOURNAL OF SCIENCE																													0038-2353					JAN-FEB	2004	100	1					123	125										WOS:000221120300025						
J	Lodolo, E; Menichetti, M; Bartole, R; Ben-Avraham, Z; Tassone, A; Lippai, H				Lodolo, E; Menichetti, M; Bartole, R; Ben-Avraham, Z; Tassone, A; Lippai, H			Magallanes-Fagnano continental transform fault (Tierra del Fuego, southernmost South America)	TECTONICS																	MENICHETTI, Marco/0000-0003-2901-0715												0278-7407					DEC 16	2003	22	6							1076	10.1029/2003TC001500								WOS:000187860300002						
J	Chauhan, P; Sahay, A; Rajawat, AS; Nayak, S				Chauhan, P; Sahay, A; Rajawat, AS; Nayak, S			Remote sensing of diffuse attenuation coefficient (K490) using IRS-P4 Ocean Colour Monitor (OCM) sensor	INDIAN JOURNAL OF MARINE SCIENCES																													0379-5136					DEC	2003	32	4					279	284										WOS:000187733900002						
J	Harris, R				Harris, R			Remote sensing of agriculture change in Oman	INTERNATIONAL JOURNAL OF REMOTE SENSING																Harris, Ray/C-1595-2008													0143-1161					DEC	2003	24	23					4835	4852		10.1080/0143116031000068178								WOS:000186754100012						
J	Sallenger, AH; Krabill, WB; Swift, RN; Brock, J; List, J; Hansen, M; Holman, RA; Manizade, S; Sontag, J; Meredith, A; Morgan, K; Yunkel, JK; Frederick, EB; Stockdon, H				Sallenger, AH; Krabill, WB; Swift, RN; Brock, J; List, J; Hansen, M; Holman, RA; Manizade, S; Sontag, J; Meredith, A; Morgan, K; Yunkel, JK; Frederick, EB; Stockdon, H			Evaluation of airborne topographic lidar for quantifying beach changes	JOURNAL OF COASTAL RESEARCH																	Stockdon, Hilary/0000-0003-0791-4676												0749-0208					WIN	2003	19	1					125	133										WOS:000182374100011						
J	Bachmann, CM; Bettenhausen, MH; Fusina, RA; Donato, TF; Russ, AL; Burke, JW; Lamela, GM; Rhea, WJ; Truitt, BR; Porter, JH				Bachmann, CM; Bettenhausen, MH; Fusina, RA; Donato, TF; Russ, AL; Burke, JW; Lamela, GM; Rhea, WJ; Truitt, BR; Porter, JH			A credit assignment approach to fusing classifiers of multiseason hyperspectral imagery	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					NOV	2003	41	11	1				2488	2499		10.1109/TGRS.2003.818537								WOS:000186572100008						
J	Thomas, W; Baier, F; Erbertseder, T; Kastner, M				Thomas, W; Baier, F; Erbertseder, T; Kastner, M			Analysis of the Algerian severe weather event in November 2001 and its impact on ozone and nitrogen dioxide distributions	TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY																													0280-6509	1600-0889				NOV	2003	55	5					993	1006		10.1034/j.1600-0889.2003.00078.x								WOS:000186324200004						
J	Bertrand, C; Clerbaux, N; Ipe, A; Gonzalez, L				Bertrand, C; Clerbaux, N; Ipe, A; Gonzalez, L			Estimation of the 2002 Mount Etna eruption cloud radiative forcing from Meteosat-7 data	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				OCT 15	2003	87	2-3					257	272		10.1016/S0034-4257(03)00183-4								WOS:000186447400010						
J	Balis, DS; Amiridis, V; Zerefos, C; Gerasopoulos, E; Andreae, M; Zanis, P; Kazantzidis, A; Kazadzis, S; Papayannis, A				Balis, DS; Amiridis, V; Zerefos, C; Gerasopoulos, E; Andreae, M; Zanis, P; Kazantzidis, A; Kazadzis, S; Papayannis, A			Raman lidar and sunphotometric measurements of aerosol optical properties over Thessaloniki, Greece during a biomass burning episode	ATMOSPHERIC ENVIRONMENT																Gerasopoulos, Evangelos/D-8808-2014; Kazadzis, Stelios/A-5628-2011; PAPAYANNIS, Alex/A-7951-2010; Zanis, Prodromos/B-5598-2015; Amiridis, Vassilis/G-6769-2012; Andreae, Meinrat/B-1068-2008; Kazadzis, Stelios/F-8667-2011	Gerasopoulos, Evangelos/0000-0002-8579-8562; Amiridis, Vassilis/0000-0002-1544-7812; Andreae, Meinrat/0000-0003-1968-7925; Balis, Dimitris/0000-0003-1161-7746; Kazadzis, Stelios/0000-0002-8624-8247												1352-2310					OCT	2003	37	32					4529	4538		10.1016/S1352-2310(03)00581-8								WOS:000185670200006						
J	Clarke, AD; Kapustin, VN				Clarke, AD; Kapustin, VN			The Shoreline Environment Aerosol Study (SEAS): A context for marine aerosol measurements influenced by a coastal environment and long-range transport	JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY																													0739-0572					OCT	2003	20	10					1351	1361		10.1175/1520-0426(2003)020<1351:TSEASS>2.0.CO;2								WOS:000185679300002						
J	Ducic, V; Artru, J; Lognonne, P				Ducic, V; Artru, J; Lognonne, P			Ionospheric remote sensing of the Denali Earthquake Rayleigh surface waves	GEOPHYSICAL RESEARCH LETTERS																Lognonne, Philippe/F-8846-2010													0094-8276	1944-8007				SEP 25	2003	30	18							1951	10.1029/2003GL017812								WOS:000185648700004						
J	Solanki, HU; Dwivedi, RM; Nayak, SR; Somvanshi, VS; Gulati, DK; Pattnayak, SK				Solanki, HU; Dwivedi, RM; Nayak, SR; Somvanshi, VS; Gulati, DK; Pattnayak, SK			Fishery forecast using OCM chlorophyll concentration and AVHRR SST: validation results off Gujarat coast, India	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					SEP 20	2003	24	18					3691	3699		10.1080/0143116031000117029								WOS:000185187200012						
J	Souza-Filho, PWM; Paradella, WR				Souza-Filho, PWM; Paradella, WR			Use of synthetic aperture radar for recognition of Coastal Geomorphological Features, land-use assessment and shoreline changes in Braganca coast, Para, Northern Brazil	ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS																Souza-Filho, Pedro Walfir/J-4958-2012	Souza-Filho, Pedro Walfir/0000-0003-0252-808X												0001-3765					SEP	2003	75	3					341	356		10.1590/S0001-37652003000300007								WOS:000184907900007						
J	Nagendra, H; Utkarsh, G				Nagendra, H; Utkarsh, G			Landscape ecological planning through a multi-scale characterization of pattern: Studies in the Western Ghats, south India	ENVIRONMENTAL MONITORING AND ASSESSMENT																Nagendra, Harini/A-9103-2009	Nagendra, Harini/0000-0002-1585-0724												0167-6369					SEP	2003	87	3					215	233		10.1023/A:1024878925038								WOS:000184256300001	12952353					
J	O'Hara, CG; King, JS; Cartwright, JH; King, RL				O'Hara, CG; King, JS; Cartwright, JH; King, RL			Multitemporal land use and land cover classification of urbanized areas within sensitive coastal environments	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																CHEN, YU/F-8600-2011													0196-2892					SEP	2003	41	9	1				2005	2014		10.1109/TGRS.2003.816573								WOS:000185419200011						
J	Bachmann, CM				Bachmann, CM			Improving the performance of classifiers in high-dimensional remote sensing applications: An adaptive resampling strategy for error-prone exemplars (ARESEPE)	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					SEP	2003	41	9	1				2101	2112		10.1109/TGRS.2003.817207								WOS:000185419200020						
J	Graham, D; Sault, M; Bailey, CJ				Graham, D; Sault, M; Bailey, CJ			National Ocean Service shoreline - Past, present, and future	JOURNAL OF COASTAL RESEARCH					Shoreline Change Workshop	MAY 07-09, 2002	CHARLESTON, SOUTH CAROLINA																						0749-0208					FAL	2003					38		14	32										WOS:000188120700003						
J	Yankovsky, AE				Yankovsky, AE			The cold-water pathway during an upwelling event on the New Jersey shelf	JOURNAL OF PHYSICAL OCEANOGRAPHY																	Yankovsky, Alexander/0000-0002-0874-9564												0022-3670					SEP	2003	33	9					1954	1966		10.1175/1520-0485(2003)033<1954:TCPDAU>2.0.CO;2                                 								WOS:000184879200006						
J	Shuman, CS; Ambrose, RF				Shuman, CS; Ambrose, RF			A comparison of remote sensing and ground-based methods for monitoring wetland restoration success	RESTORATION ECOLOGY																	Ambrose, Richard/0000-0001-8653-6487												1061-2971	1526-100X				SEP	2003	11	3					325	333		10.1046/j.1526-100X.2003.00182.x								WOS:000184575400008						
J	Hardman-Mountford, NJ; McGlade, JM				Hardman-Mountford, NJ; McGlade, JM			Seasonal and interannual variability of oceanographic processes in the Gulf of Guinea: an investigation using AVHRR sea surface temperature data	INTERNATIONAL JOURNAL OF REMOTE SENSING																Hardman-Mountford, Nick/B-2649-2009													0143-1161					AUG 20	2003	24	16					3247	3268		10.1080/0143116021000021297								WOS:000184128200005						
J	Kaufman, YJ; Haywood, JM; Hobbs, PV; Hart, W; Kleidman, R; Schmid, B				Kaufman, YJ; Haywood, JM; Hobbs, PV; Hart, W; Kleidman, R; Schmid, B			Remote sensing of vertical distributions of smoke aerosol off the coast of Africa	GEOPHYSICAL RESEARCH LETTERS																													0094-8276					AUG 16	2003	30	16							1831	10.1029/2003GL017068								WOS:000184867700001						
J	Kelly, REJ; Davie, TJA; Atkinson, PM				Kelly, REJ; Davie, TJA; Atkinson, PM			Explaining temporal and spatial variation in soil moisture in a bare field using SAR imagery	INTERNATIONAL JOURNAL OF REMOTE SENSING																Atkinson, Peter/L-9508-2013	Atkinson, Peter/0000-0002-5489-6880												0143-1161					AUG 10	2003	24	15					3059	3074		10.1080/01431160110115771								WOS:000184128100004						
J	Reid, JS; Kinney, JE; Westphal, DL; Holben, BN; Welton, EJ; Tsay, SC; Eleuterio, DP; Campbell, JR; Christopher, SA; Colarco, PR; Jonsson, HH; Livingston, JM; Maring, HB; Meier, ML; Pilewskie, P; Prospero, JM; Reid, EA; Remer, LA; Russell, PB; Savoie, DL; Smirnov, A; Tanre, D				Reid, JS; Kinney, JE; Westphal, DL; Holben, BN; Welton, EJ; Tsay, SC; Eleuterio, DP; Campbell, JR; Christopher, SA; Colarco, PR; Jonsson, HH; Livingston, JM; Maring, HB; Meier, ML; Pilewskie, P; Prospero, JM; Reid, EA; Remer, LA; Russell, PB; Savoie, DL; Smirnov, A; Tanre, D			Analysis of measurements of Saharan dust by airborne and ground-based remote sensing methods during the Puerto Rico Dust Experiment (PRIDE)	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Welton, Ellsworth/A-8362-2012; Colarco, Peter/D-8637-2012; Tsay, Si-Chee/J-1147-2014; Christopher, Sundar/E-6781-2011; Reid, Jeffrey/B-7633-2014; Campbell, James/C-4884-2012; Smirnov, Alexander/C-2121-2009	Colarco, Peter/0000-0003-3525-1662; Reid, Jeffrey/0000-0002-5147-7955; Campbell, James/0000-0003-0251-4550; Smirnov, Alexander/0000-0002-8208-1304												2169-897X	2169-8996				AUG 7	2003	108	D19							8586	10.1029/2002JD002493								WOS:000184825900001						
J	Kaufman, YJ; Tanre, D; Leon, JF; Pelon, J				Kaufman, YJ; Tanre, D; Leon, JF; Pelon, J			Retrievals of profiles of fine and coarse aerosols using lidar and radiometric space measurements	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					AUG	2003	41	8					1743	1754		10.1109/TGRS.2003.814138								WOS:000184861700001						
J	Zaytsev, O; Cervantes-Duarte, R; Montante, O; Gallegos-Garcia, A				Zaytsev, O; Cervantes-Duarte, R; Montante, O; Gallegos-Garcia, A			Coastal upwelling activity on the pacific shelf of the Baja California Peninsula	JOURNAL OF OCEANOGRAPHY																													0916-8370					AUG	2003	59	4					489	502		10.1023/A:1025544700632								WOS:000183866500009						
J	Barducci, A; Marcoionni, P; Pippi, I; Poggesi, M				Barducci, A; Marcoionni, P; Pippi, I; Poggesi, M			Effects of light pollution revealed during a nocturnal aerial survey by two hyperspectral imagers	APPLIED OPTICS																													1559-128X	2155-3165				JUL 20	2003	42	21					4349	4361		10.1364/AO.42.004349								WOS:000184252300015	12921285					
J	Swap, RJ; Annegarn, HJ; Suttles, JT; King, MD; Platnick, S; Privette, JL; Scholes, RJ				Swap, RJ; Annegarn, HJ; Suttles, JT; King, MD; Platnick, S; Privette, JL; Scholes, RJ			Africa burning: A thematic analysis of the Southern African Regional Science Initiative (SAFARI 2000)	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Swap, Robert/Q-9808-2017; Annegarn, Harold/A-9127-2008; King, Michael/C-7153-2011; Platnick, Steven/J-9982-2014; Privette, Jeffrey/G-7807-2011	Annegarn, Harold/0000-0001-6653-4679; King, Michael/0000-0003-2645-7298; Platnick, Steven/0000-0003-3964-3567; Privette, Jeffrey/0000-0001-8267-9894												2169-897X	2169-8996				JUL 15	2003	108	D13							8465	10.1029/2003JD003747								WOS:000184601700007						
J	Komatsu, T; Igarashi, C; Tatsukawa, K; Sultana, S; Matsuoka, Y; Harada, S				Komatsu, T; Igarashi, C; Tatsukawa, K; Sultana, S; Matsuoka, Y; Harada, S			Use of multi-beam sonar to map seagrass beds in Otsuchi Bay on the Sanriku Coast of Japan	AQUATIC LIVING RESOURCES					ICES Symposium on Acoustics in Fisheries and Aquatic Ecology	JUN 10-14, 2002	MONTPELLIER, FRANCE	ICES, Inst Rech Dev, IFREMER, Acoust Soc Amer, UK Inst Acoust, US Natl Marine Fisheries Serv, Soc Francaise Acoust																					0990-7440					JUL	2003	16	3					223	230		10.1016/S0990-7440(03)00045-7								WOS:000185139400016						
J	Asanuma, I; Matsumoto, K; Okano, H; Kawano, T; Hendiarti, N; Sachoemar, SI				Asanuma, I; Matsumoto, K; Okano, H; Kawano, T; Hendiarti, N; Sachoemar, SI			Spatial distribution of phytoplankton along the Sunda Islands: The monsoon anomaly in 1998	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																													0148-0227					JUN 27	2003	108	C6							3202	10.1029/1999JC000139								WOS:000184590700001						
J	Shepherd, A; Peacock, NR				Shepherd, A; Peacock, NR			Ice shelf tidal motion derived from ERS altimetry	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																													0148-0227					JUN 20	2003	108	C6							3198	10.1029/2001JC001152								WOS:000183750500001						
J	Magi, BI; Hobbs, PV; Schmid, B; Redemann, J				Magi, BI; Hobbs, PV; Schmid, B; Redemann, J			Vertical profiles of light scattering, light absorption, and single scattering albedo during the dry, biomass burning season in southern Africa and comparisons of in situ and remote sensing measurements of aerosol optical depths	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Magi, Brian/K-2000-2015	Magi, Brian/0000-0001-8131-0083												2169-897X	2169-8996				JUN 19	2003	108	D13							8504	10.1029/2002JD002361								WOS:000183747200001						
J	Camps, A; Corbella, I; Vall-llossera, M; Duffo, N; Torres, F; Villarino, R; Enrique, L; Miranda, J; Julbe, F; Font, J; Julia, A; Gabarro, C; Etchetto, J; Boutin, J; Weill, A; Caselles, V; Rubio, E; Wursteisen, P; Berger, M; Martin-Neira, M				Camps, A; Corbella, I; Vall-llossera, M; Duffo, N; Torres, F; Villarino, R; Enrique, L; Miranda, J; Julbe, F; Font, J; Julia, A; Gabarro, C; Etchetto, J; Boutin, J; Weill, A; Caselles, V; Rubio, E; Wursteisen, P; Berger, M; Martin-Neira, M			L-band sea surface emissivity: Preliminary results of the WISE-2000 campaign and its application to salinity retrieval in the SMOS mission	RADIO SCIENCE																Font, Jordi/E-5355-2013; Vall-llossera, Merce/M-7466-2013; Boutin, Jacqueline/M-2253-2016; Camps, Adriano/D-2592-2011; Rubio, Eva/L-4411-2017; Corbella, Ignasi/E-9578-2013; Duffo Ubeda, Nuria/F-7021-2013; Gabarro, Carolina/N-3526-2014; Torres, Francesc/D-7587-2013	Font, Jordi/0000-0003-2590-1457; Boutin, Jacqueline/0000-0003-2845-4912; Camps, Adriano/0000-0002-9514-4992; Rubio, Eva/0000-0003-4148-9845; Corbella, Ignasi/0000-0001-5598-7955; Duffo Ubeda, Nuria/0000-0002-9398-3995; Gabarro, Carolina/0000-0003-0004-1964; Torres, Francesc/0000-0003-1160-6350												0048-6604	1944-799X				JUN 19	2003	38	4							8071	10.1029/2002RS002629								WOS:000183885400001						
J	Hutchison, KD				Hutchison, KD			Applications of MODIS satellite data and products for monitoring air quality in the state of Texas	ATMOSPHERIC ENVIRONMENT																Xiongfei, Zhao/G-7690-2015													1352-2310					JUN	2003	37	17					2403	2412		10.1016/S1352-2310(03)00128-6								WOS:000182889100010						
J	Stumpf, RP; Culver, ME; Tester, PA; Tomlinson, M; Kirkpatrick, GJ; Pederson, BA; Truby, E; Ransibrahmanakul, V; Soracco, M				Stumpf, RP; Culver, ME; Tester, PA; Tomlinson, M; Kirkpatrick, GJ; Pederson, BA; Truby, E; Ransibrahmanakul, V; Soracco, M			Monitoring Karenia brevis blooms in the Gulf of Mexico using satellite ocean color imagery and other data	HARMFUL ALGAE																													1568-9883					JUN	2003	2	2					147	160	PII S1568-9883(02)00083-5	10.1016/S1568-9883(02)00083-5								WOS:000220864500006						
J	Xie, N; Leung, H; Chan, H				Xie, N; Leung, H; Chan, H			A multiple-model prediction approach for sea clutter modeling	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					JUN	2003	41	6	1				1491	1502		10.1109/TGRS.2003.811690								WOS:000184768700038						
J	Tobler, MW; Cochard, R; Edwards, PJ				Tobler, MW; Cochard, R; Edwards, PJ			The impact of cattle ranching on large-scale vegetation patterns in a coastal savanna in Tanzania	JOURNAL OF APPLIED ECOLOGY																													0021-8901					JUN	2003	40	3					430	444		10.1046/j.1365-2664.2003.00816.x								WOS:000183283400002						
J	Meier, WN; Maslanik, JA				Meier, WN; Maslanik, JA			Effect of environmental conditions on observed, modeled, and assimilated sea ice motion errors	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																													0148-0227					MAY 21	2003	108	C5							3152	10.1029/2002JC001333								WOS:000183179100003						
J	Tang, DL; Kester, DR; Wang, ZD; Lian, JS; Kawamura, H				Tang, DL; Kester, DR; Wang, ZD; Lian, JS; Kawamura, H			AVHRR satellite remote sensing and shipboard measurements of the thermal plume from the Daya Bay, nuclear power station, China	REMOTE SENSING OF ENVIRONMENT																													0034-4257					APR 10	2003	84	4					506	515	PII S0034-4257(02)00149-9	10.1016/S0034-4257(02)00149-9								WOS:000181734400003						
J	Aslan, A; White, WA; Warne, AG; Guevara, EH				Aslan, A; White, WA; Warne, AG; Guevara, EH			Holocene evolution of the western Orinoco Delta, Venezuela	GEOLOGICAL SOCIETY OF AMERICA BULLETIN																													0016-7606					APR	2003	115	4					479	498		10.1130/0016-7606(2003)115<0479:HEOTWO>2.0.CO;2								WOS:000181928300007						
J	Sassen, K; Arnott, WP; Starr, DO; Mace, GG; Wang, Z; Poellot, MR				Sassen, K; Arnott, WP; Starr, DO; Mace, GG; Wang, Z; Poellot, MR			Midlatitude cirrus clouds derived from Hurricane Nora: A case study with implications for ice crystal nucleation and shape	JOURNAL OF THE ATMOSPHERIC SCIENCES																Wang, Zhien/F-4857-2011													0022-4928					APR	2003	60	7					873	891		10.1175/1520-0469(2003)060<0873:MCCDFH>2.0.CO;2								WOS:000181671400001						
J	Kadygrov, EN; Shur, GN; Viazankin, AS				Kadygrov, EN; Shur, GN; Viazankin, AS			Investigation of atmospheric boundary layer temperature, turbulence, and wind parameters on the basis of passive microwave remote sensing	RADIO SCIENCE																													0048-6604					MAR 12	2003	38	3							8048	10.1029/2002RS002647								WOS:000182212700001						
J	Wyatt, LR; Green, JJ; Gurgel, KW; Borge, JCN; Reichert, K; Hessner, K; Gunther, H; Rosenthal, W; Saetra, O; Reistad, M				Wyatt, LR; Green, JJ; Gurgel, KW; Borge, JCN; Reichert, K; Hessner, K; Gunther, H; Rosenthal, W; Saetra, O; Reistad, M			Validation and intercomparisons of wave measurements and models during the EuroROSE experiments	COASTAL ENGINEERING																	Green, John James/0000-0003-0557-3767; Wyatt, Lucy/0000-0002-9483-0018												0378-3839					MAR	2003	48	1					1	28		10.1016/S0378-3839(02)00157-6								WOS:000181148300001						
J	Li, RR; Kaufman, YJ; Gao, BC; Davis, CO				Li, RR; Kaufman, YJ; Gao, BC; Davis, CO			Remote sensing of suspended sediments and shallow coastal waters	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					MAR	2003	41	3					559	566		10.1109/TGRS.2003.810227								WOS:000182871300006						
J	Haus, BK; Graber, HC; Shay, LK; Cook, TM				Haus, BK; Graber, HC; Shay, LK; Cook, TM			Alongshelf variability of a coastal buoyancy current during the relaxation of downwelling favorable winds	JOURNAL OF COASTAL RESEARCH																													0749-0208					SPR	2003	19	2					409	420										WOS:000182896000017						
J	Finkl, CW; Krupa, SL				Finkl, Charles W.; Krupa, Steve L.			Environmental impacts of coastal-plain activities on sandy beach systems: Hazards, perception and mitigation	JOURNAL OF COASTAL RESEARCH																													0749-0208					SPR	2003					35		132	150										WOS:000202961200014						
