PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Liu, W; Liu, SB; Zhao, JH; Duan, JB; Chen, ZH; Guo, R; Chu, JL; Zhang, J; Li, XP; Liu, JB				Liu, Wei; Liu, Shibin; Zhao, Jianhua; Duan, Jianbo; Chen, Zhihong; Guo, Rui; Chu, Jialan; Zhang, Jing; Li, Xinpeng; Liu, Jianbo			A remote sensing data management system for sea area usage management in China	OCEAN & COASTAL MANAGEMENT																													0964-5691	1873-524X				FEB 1	2018	152						163	174		10.1016/j.ocecoaman.2017.11.028								WOS:000423647300016						
J	Garaba, SP; Dierssen, HM				Garaba, Shungudzemwoyo P.; Dierssen, Heidi M.			An airborne remote sensing case study of synthetic hydrocarbon detection using short wave infrared absorption features identified from marine-harvested macro- and microplastics	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				FEB	2018	205						224	235		10.1016/j.rse.2017.11.023								WOS:000423007700018						
J	Ramanantsoa, JD; Krug, M; Penven, P; Rouault, M; Gula, J				Ramanantsoa, Juliano D.; Krug, M.; Penven, P.; Rouault, M.; Gula, J.			Coastal upwelling south of Madagascar: Temporal and spatial variability	JOURNAL OF MARINE SYSTEMS																Penven, Pierrick/A-6665-2008; Rouault, Mathieu/A-5022-2008	Penven, Pierrick/0000-0001-6456-3142; Rouault, Mathieu/0000-0002-3207-6777; Gula, Jonathan/0000-0002-0876-9557												0924-7963	1879-1573				FEB	2018	178						29	37		10.1016/j.jmarsys.2017.10.005								WOS:000418215000003						
J	Anttila, S; Fleming-Lehtinen, V; Attila, J; Junttila, S; Alasalmi, H; Hallfors, H; Kervinen, M; Koponen, S				Anttila, Saku; Fleming-Lehtinen, Vivi; Attila, Jenni; Junttila, Sofia; Alasalmi, Hanna; Hallfors, Heidi; Kervinen, Mikko; Koponen, Sampsa			A novel earth observation based ecological indicator for cyanobacterial blooms	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION																													0303-2434					FEB	2018	64						145	155		10.1016/j.jag.2017.09.007								WOS:000413880000013						
J	Zavarsky, A; Booge, D; Fiehn, A; Kruger, K; Atlas, E; Marandino, C				Zavarsky, Alex; Booge, Dennis; Fiehn, Alina; Kruger, Kirstin; Atlas, Elliot; Marandino, Christa			The Influence of Air-Sea Fluxes on Atmospheric Aerosols During the Summer Monsoon Over the Tropical Indian Ocean	GEOPHYSICAL RESEARCH LETTERS																													0094-8276	1944-8007				JAN 16	2018	45	1					418	426		10.1002/2017GL076410								WOS:000423431800047						
J	Bi, L; Lin, WS; Wang, Z; Tang, XY; Zhang, XY; Yi, BQ				Bi, Lei; Lin, Wushao; Wang, Zheng; Tang, Xiaoyun; Zhang, Xiaoyu; Yi, Bingqi			Optical Modeling of Sea Salt Aerosols: The Effects of Nonsphericity and Inhomogeneity	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																	Lin, Wushao/0000-0001-6460-4207												2169-897X	2169-8996				JAN 16	2018	123	1					543	558		10.1002/2017JD027869								WOS:000423433500031						
J	Di Tullio, GR; Mariani, P; Benassai, G; Di Luccio, D; Grieco, L				Di Tullio, Giacomo R.; Mariani, Patrizio; Benassai, Guido; Di Luccio, Diana; Grieco, Luisa			Sustainable use of marine resources through offshore wind and mussel farm co-location	ECOLOGICAL MODELLING																													0304-3800	1872-7026				JAN 10	2018	367						34	41		10.1016/j.ecolmodel.2017.10.012								WOS:000423007500005						
J	Lehmkuhl, F; Grunert, J; Hulle, D; Batkhishig, O; Stauch, G				Lehmkuhl, Frank; Grunert, Joerg; Huelle, Daniela; Batkhishig, Ochirbat; Stauch, Georg			Paleolakes in the Gobi region of southern Mongolia	QUATERNARY SCIENCE REVIEWS																													0277-3791					JAN 1	2018	179						1	23		10.1016/j.quascirev.2017.10.035								WOS:000423245600001						
J	Soja-Wozniak, M; Darecki, M; Wojtasiewicz, B; Bradtke, K				Soja-Wozniak, Monika; Darecki, Miroslaw; Wojtasiewicz, Bozena; Bradtke, Katarzyna			Laboratory measurements of remote sensing reflectance of selected phytoplankton species from the Baltic Sea	OCEANOLOGIA																													0078-3234	2300-7370				JAN-MAR	2018	60	1					86	96		10.1016/j.oceano.2017.08.001								WOS:000423058800007						
J	Nayak, AR; McFarland, MN; Sullivan, JM; Twardowski, MS				Nayak, Aditya R.; McFarland, Malcolm N.; Sullivan, James M.; Twardowski, Michael S.			Evidence for ubiquitous preferential particle orientation in representative oceanic shear flows	LIMNOLOGY AND OCEANOGRAPHY																	Nayak, Aditya/0000-0002-2936-5607												0024-3590	1939-5590				JAN	2018	63	1					122	143		10.1002/lno.10618								WOS:000423029300008						
